salesorderitemdetail_id,salesorder_id,product_name,category,sub_category,tag_number,qty_in_stock,qty,purchase_price,selling_price,selling_price_gst_exclude,base_price_gst_exclude,cgst_percentage,sgst_percentage,igst_percentage,cgst_amount,sgst_amount,igst_amount,total_amount,gst_percentage,hsn_code,inventory_id
4,15,803,EUC,Desktop,4134271025D1347,1,1,4121.00,2542.00,2542.00,2542.00,0,0,18,0.00,0.00,457.56,2999.56,18,,521
5,15,7,EUC,Desktop,TN_160001,6,2,4121.00,2542.00,2542.00,5084.00,0,0,18,0.00,0.00,915.12,5999.12,18,,1
6,15,803,EUC,Desktop,4134271025D1521,210,200,4121.00,2542.00,2542.00,508400.00,0,0,18,0.00,0.00,91512.00,599912.00,18,,483
7,15,803,EUC,Desktop,4134271025D1520,200,100,4121.00,2542.00,2542.00,254200.00,0,0,0,0.00,0.00,0.00,254200.00,18,,484
8,15,803,EUC,Desktop,4134271025D1518,180,30,4121.00,2542.00,2542.00,76260.00,0,0,0,0.00,0.00,0.00,76260.00,18,,485
9,15,803,EUC,Desktop,4134271025D1515,150,50,4121.00,2542.00,2542.00,127100.00,0,0,0,0.00,0.00,0.00,127100.00,18,,486
10,15,803,EUC,Desktop,4134271025D1519,190,40,4121.00,2542.00,2542.00,101680.00,0,0,0,0.00,0.00,0.00,101680.00,18,,487
11,15,803,EUC,Desktop,4134271025D1517,170,110,4121.00,2542.00,2542.00,279620.00,0,0,0,0.00,0.00,0.00,279620.00,18,,488
12,15,803,EUC,Desktop,4134271025D1516,160,14,4121.00,2542.00,2542.00,35588.00,0,0,0,0.00,0.00,0.00,35588.00,18,,489
13,15,803,EUC,Desktop,4134271025D1514,120,15,4121.00,2542.00,2542.00,38130.00,0,0,0,0.00,0.00,0.00,38130.00,18,,490
14,15,803,EUC,Desktop,4134271025D1508,1,1,4121.00,2542.00,2542.00,2542.00,0,0,0,0.00,0.00,0.00,2542.00,18,,493
15,15,803,EUC,Desktop,4134271025D1507,1,1,4121.00,2542.00,2542.00,2542.00,0,0,0,0.00,0.00,0.00,2542.00,18,,494
16,15,803,EUC,Desktop,4134271025D1506,1,1,4121.00,2542.00,2542.00,2542.00,0,0,0,0.00,0.00,0.00,2542.00,18,,495
17,15,803,EUC,Desktop,4134271025D1505,1,1,4121.00,2542.00,2542.00,2542.00,0,0,0,0.00,0.00,0.00,2542.00,18,,496
18,15,803,EUC,Desktop,4134271025D1504,1,1,4121.00,2542.00,2542.00,2542.00,0,0,0,0.00,0.00,0.00,2542.00,18,,497
19,15,803,EUC,Desktop,4134271025D1503,1,1,4121.00,2542.00,2542.00,2542.00,0,0,0,0.00,0.00,0.00,2542.00,18,,498
20,15,803,EUC,Desktop,4134271025D1496,1,1,4121.00,2542.00,2542.00,2542.00,0,0,0,0.00,0.00,0.00,2542.00,18,,499
21,15,803,EUC,Desktop,4134271025D1495,1,1,4121.00,2542.00,2542.00,2542.00,0,0,0,0.00,0.00,0.00,2542.00,18,,500
22,15,803,EUC,Desktop,4134271025D1493,1,1,4121.00,2542.00,2542.00,2542.00,0,0,0,0.00,0.00,0.00,2542.00,18,,501
23,15,803,EUC,Desktop,4134271025D1492,1,1,4121.00,2542.00,2542.00,2542.00,0,0,0,0.00,0.00,0.00,2542.00,18,,502
24,15,803,EUC,Desktop,4134271025D1491,1,1,4121.00,2542.00,2542.00,2542.00,0,0,0,0.00,0.00,0.00,2542.00,18,,503
